Appl_No,Appl_Type,Ingredient,Dosage,Form,Route,Trade_Name,Applicant,Strength,Product_No,Patent_No,Patent_Expire_Date_Text,Drug_Substance_Flag,Drug_Product_Flag,Patent_Use_Code,Submission_Date
209410,N,AMANTADINE HYDROCHLORIDE,TABLET,,ORAL,OSMOLEX ER,SUPERNUS PHARMS,EQ 129MG BASE,1,10512617,2038-02-15,,,U-2497,2020-01-02
209410,N,AMANTADINE HYDROCHLORIDE,TABLET,,ORAL,OSMOLEX ER,SUPERNUS PHARMS,EQ 129MG BASE,2,10512617,2038-02-15,,,U-2497,2020-01-02
209410,N,AMANTADINE HYDROCHLORIDE,TABLET,,ORAL,OSMOLEX ER,SUPERNUS PHARMS,EQ 129MG BASE,3,10512617,2038-02-15,,,U-2497,2020-01-02
22527,N,FINGOLIMOD HYDROCHLORIDE,,,ORAL,GILENYA,NOVARTIS,EQ 0.25MG BASE,1,10543179,2027-12-25,,,U-2719,2020-01-28
205879,N,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,TABLET,,ORAL,INVOKAMET XR,JANSSEN PHARMS,50MG;1GM,3,8513202,2027-12-03,Y,Y,U-2632,2016-10-14
205879,N,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,TABLET,,ORAL,INVOKAMET XR,JANSSEN PHARMS,50MG;1GM,4,8513202,2027-12-03,Y,Y,U-2632,2016-10-14
211280,N,LASMIDITAN SUCCINATE,,,ORAL,REYVOW,ELI LILLY AND CO,EQ 50MG BASE,1,7423050,2028-02-17,Y,Y,U-1719,2020-02-25
211280,N,LASMIDITAN SUCCINATE,,,ORAL,REYVOW,ELI LILLY AND CO,EQ 50MG BASE,2,7423050,2028-02-17,Y,Y,U-1719,2020-02-25
212306,N,SELINEXOR,,,ORAL,XPOVIO,KARYOPHARM THERAPS,10MG,1,10544108,2032-07-26,,,U-2584,2020-02-24
210134,N,GLUCAGON,,,NASAL,BAQSIMI,AMPHASTAR PHARMS INC,3MG,1,10213487,2036-02-16,,Y,U-2604,2019-08-23
212099,N,DAROLUTAMIDE,,,ORAL,NUBEQA,BAYER HEALTHCARE,300MG,1,8975254,2033-03-25,Y,Y,U-2605,2019-08-27
212099,N,DAROLUTAMIDE,,,ORAL,NUBEQA,BAYER HEALTHCARE,300MG,1,9657003,2030-10-27,Y,Y,U-2605,2019-08-27
210655,N,RISPERIDONE,FOR SUSPENSION,,SUBCUTANEOUS,PERSERIS KIT,INDIVIOR,90MG,1,10376590,2028-02-13,,,U-2608,2019-08-29
210655,N,RISPERIDONE,FOR SUSPENSION,,SUBCUTANEOUS,PERSERIS KIT,INDIVIOR,90MG,2,10376590,2028-02-13,,,U-2608,2019-08-29
206488,N,ETEPLIRSEN,,,INTRAVENOUS,EXONDYS 51,SAREPTA THERAPS INC,100MG/2ML (50MG/ML),1,10364431,2034-03-14,,,U-1919,2019-08-28
206488,N,ETEPLIRSEN,,,INTRAVENOUS,EXONDYS 51,SAREPTA THERAPS INC,100MG/2ML (50MG/ML),1,10364431,2034-03-14,,,U-1918,2019-08-28
206488,N,ETEPLIRSEN,,,INTRAVENOUS,EXONDYS 51,SAREPTA THERAPS INC,100MG/2ML (50MG/ML),2,10364431,2034-03-14,,,U-1919,2019-08-28
206488,N,ETEPLIRSEN,,,INTRAVENOUS,EXONDYS 51,SAREPTA THERAPS INC,100MG/2ML (50MG/ML),2,10364431,2034-03-14,,,U-1918,2019-08-28
208564,N,ESTRADIOL,,,VAGINAL,IMVEXXY,MAYNE PHARMA,0.004MG,1,10398708,2032-11-21,,,U-2614,2019-09-12
208564,N,ESTRADIOL,,,VAGINAL,IMVEXXY,MAYNE PHARMA,0.004MG,2,10398708,2032-11-21,,,U-2614,2019-09-12
22348,N,IBUPROFEN,,,INTRAVENOUS,CALDOLOR,CUMBERLAND PHARMS,400MG/4ML (100MG/ML),3,9072710,2032-03-16,,,U-2266,2019-09-10
206488,N,ETEPLIRSEN,,,INTRAVENOUS,EXONDYS 51,SAREPTA THERAPS INC,100MG/2ML (50MG/ML),1,10337003,2034-03-14,,,U-1918,2019-09-10
206488,N,ETEPLIRSEN,,,INTRAVENOUS,EXONDYS 51,SAREPTA THERAPS INC,100MG/2ML (50MG/ML),2,10337003,2034-03-14,,,U-1918,2019-09-10
205677,N,TASIMELTEON,,,ORAL,HETLIOZ,VANDA PHARMS INC,20MG,1,10376487,2035-07-27,,,U-2615,2019-09-11
211150,N,PITOLISANT HYDROCHLORIDE,,,ORAL,WAKIX,HARMONY,EQ 4.45MG BASE,1,8354430,2026-02-06,,,U-1101,2019-09-11
211150,N,PITOLISANT HYDROCHLORIDE,,,ORAL,WAKIX,HARMONY,EQ 4.45MG BASE,1,8486947,2029-09-26,,,U-1101,2019-09-11
211150,N,PITOLISANT HYDROCHLORIDE,,,ORAL,WAKIX,HARMONY,EQ 4.45MG BASE,2,8486947,2029-09-26,,,U-1101,2019-09-11
211150,N,PITOLISANT HYDROCHLORIDE,,,ORAL,WAKIX,HARMONY,EQ 4.45MG BASE,2,8354430,2026-02-06,,,U-1101,2019-09-11
212725,N,ENTRECTINIB,,,ORAL,ROZLYTREK,GENENTECH INC,100MG,1,8673893,2028-07-08,,,U-2617,2019-09-13
212725,N,ENTRECTINIB,,,ORAL,ROZLYTREK,GENENTECH INC,100MG,1,10231965,2035-02-17,,,U-2617,2019-09-13
212725,N,ENTRECTINIB,,,ORAL,ROZLYTREK,GENENTECH INC,100MG,1,9255087,2028-07-08,,,U-2617,2019-09-13
212725,N,ENTRECTINIB,,,ORAL,ROZLYTREK,GENENTECH INC,100MG,1,9649306,2033-05-22,,,U-2617,2019-09-13
212725,N,ENTRECTINIB,,,ORAL,ROZLYTREK,GENENTECH INC,100MG,2,9255087,2028-07-08,,,U-2617,2019-09-13
212725,N,ENTRECTINIB,,,ORAL,ROZLYTREK,GENENTECH INC,100MG,2,9649306,2033-05-22,,,U-2617,2019-09-13
212725,N,ENTRECTINIB,,,ORAL,ROZLYTREK,GENENTECH INC,100MG,2,10231965,2035-02-17,,,U-2617,2019-09-13
212725,N,ENTRECTINIB,,,ORAL,ROZLYTREK,GENENTECH INC,100MG,2,8673893,2028-07-08,,,U-2617,2019-09-13
205832,N,NINTEDANIB ESYLATE,,,ORAL,OFEV,BOEHRINGER INGELHEIM,EQ 100MG BASE,1,10154990,2026-01-08,,,U-2620,2019-09-18
205832,N,NINTEDANIB ESYLATE,,,ORAL,OFEV,BOEHRINGER INGELHEIM,EQ 100MG BASE,2,10154990,2026-01-08,,,U-2620,2019-09-18
22450,N,ACETAMINOPHEN,,,INTRAVENOUS,OFIRMEV,MALLINCKRODT HOSP,1GM/100ML,1,10383834,2028-11-13,,,U-2262,2019-09-18
22450,N,ACETAMINOPHEN,,,INTRAVENOUS,OFIRMEV,MALLINCKRODT HOSP,1GM/100ML,1,10383834,2028-11-13,,,U-2621,2019-09-18
208401,N,LISINOPRIL,,,ORAL,QBRELIS,AZURITY,1MG/ML,1,10406199,2035-11-06,,,U-1864,2019-09-20
208401,N,LISINOPRIL,,,ORAL,QBRELIS,AZURITY,1MG/ML,1,10406199,2035-11-06,,,U-185,2019-09-20
208401,N,LISINOPRIL,,,ORAL,QBRELIS,AZURITY,1MG/ML,1,10406199,2035-11-06,,,U-1723,2019-09-20
208401,N,LISINOPRIL,,,ORAL,QBRELIS,AZURITY,1MG/ML,1,10406199,2035-11-06,,,U-71,2019-09-20
208401,N,LISINOPRIL,,,ORAL,QBRELIS,AZURITY,1MG/ML,1,10406199,2035-11-06,,,U-1991,2019-09-20
208401,N,LISINOPRIL,,,ORAL,QBRELIS,AZURITY,1MG/ML,1,10406199,2035-11-06,,,U-3,2019-09-20
208401,N,LISINOPRIL,,,ORAL,QBRELIS,AZURITY,1MG/ML,1,10406199,2035-11-06,,,U-8,2019-09-20
209963,N,COCAINE HYDROCHLORIDE,,,NASAL,GOPRELTO,NODEN PHARMA,0.04,1,10420760,2037-02-07,,,U-2478,2019-10-23
210868,N,LORLATINIB,,,ORAL,LORBRENA,PFIZER,25MG,1,10420749,2036-07-27,Y,Y,U-2633,2019-10-23
210868,N,LORLATINIB,,,ORAL,LORBRENA,PFIZER,25MG,2,10420749,2036-07-27,Y,Y,U-2633,2019-10-23
211527,N,TRIFAROTENE,,,TOPICAL,AKLIEF,GALDERMA LABS LP,0.0001,1,9084778,2033-05-30,,Y,U-134,2019-10-31
211527,N,TRIFAROTENE,,,TOPICAL,AKLIEF,GALDERMA LABS LP,0.0001,1,8227507,2025-12-21,,,U-818,2019-10-31
22406,N,RIVAROXABAN,,,ORAL,XARELTO,JANSSEN PHARMS,2.5MG,1,9539218,2034-02-17,,,U-2641,2017-02-07
202107,N,MIFEPRISTONE,,,ORAL,KORLYM,CORCEPT THERAP,300MG,1,10495650,2036-08-12,,,U-1643,2019-12-03
210259,N,ACALABRUTINIB,,,ORAL,CALQUENCE,ASTRAZENECA,100MG,1,10239883,2032-07-11,,,U-2668,2019-12-12
210259,N,ACALABRUTINIB,,,ORAL,CALQUENCE,ASTRAZENECA,100MG,1,10239883,2032-07-11,,,U-2666,2019-12-12
203496,N,TREPROSTINIL DIOLAMINE,TABLET,,ORAL,ORENITRAM,UNITED THERAP,EQ 0.125MG BASE,1,8747897,2031-08-11,,Y,U-2725,2014-06-13
203496,N,TREPROSTINIL DIOLAMINE,TABLET,,ORAL,ORENITRAM,UNITED THERAP,EQ 0.125MG BASE,1,8747897,2031-08-11,,Y,U-2724,2014-06-13
203496,N,TREPROSTINIL DIOLAMINE,TABLET,,ORAL,ORENITRAM,UNITED THERAP,EQ 0.125MG BASE,2,8747897,2031-08-11,,Y,U-2725,2014-06-13
203496,N,TREPROSTINIL DIOLAMINE,TABLET,,ORAL,ORENITRAM,UNITED THERAP,EQ 0.125MG BASE,2,8747897,2031-08-11,,Y,U-2724,2014-06-13
203496,N,TREPROSTINIL DIOLAMINE,TABLET,,ORAL,ORENITRAM,UNITED THERAP,EQ 0.125MG BASE,3,8747897,2031-08-11,,Y,U-2724,2014-06-13
203496,N,TREPROSTINIL DIOLAMINE,TABLET,,ORAL,ORENITRAM,UNITED THERAP,EQ 0.125MG BASE,3,8747897,2031-08-11,,Y,U-2725,2014-06-13
203496,N,TREPROSTINIL DIOLAMINE,TABLET,,ORAL,ORENITRAM,UNITED THERAP,EQ 0.125MG BASE,4,8747897,2031-08-11,,Y,U-2725,2014-06-13
203496,N,TREPROSTINIL DIOLAMINE,TABLET,,ORAL,ORENITRAM,UNITED THERAP,EQ 0.125MG BASE,4,8747897,2031-08-11,,Y,U-2724,2014-06-13
203496,N,TREPROSTINIL DIOLAMINE,TABLET,,ORAL,ORENITRAM,UNITED THERAP,EQ 0.125MG BASE,5,8747897,2031-08-11,,Y,U-2725,2017-02-09
203496,N,TREPROSTINIL DIOLAMINE,TABLET,,ORAL,ORENITRAM,UNITED THERAP,EQ 0.125MG BASE,5,8747897,2031-08-11,,Y,U-2724,2017-02-09
202971,N,ARIPIPRAZOLE,FOR SUSPENSION,,INTRAMUSCULAR,ABILIFY MAINTENA KIT,OTSUKA PHARM CO LTD,300MG/VIAL,1,10525057,2034-03-08,,,U-543,2020-01-31
202971,N,ARIPIPRAZOLE,FOR SUSPENSION,,INTRAMUSCULAR,ABILIFY MAINTENA KIT,OTSUKA PHARM CO LTD,300MG/VIAL,1,10525057,2034-03-08,,,U-1632,2020-01-31
202971,N,ARIPIPRAZOLE,FOR SUSPENSION,,INTRAMUSCULAR,ABILIFY MAINTENA KIT,OTSUKA PHARM CO LTD,300MG/VIAL,1,10525057,2034-03-08,,,U-2723,2020-01-31
202971,N,ARIPIPRAZOLE,FOR SUSPENSION,,INTRAMUSCULAR,ABILIFY MAINTENA KIT,OTSUKA PHARM CO LTD,300MG/VIAL,2,10525057,2034-03-08,,,U-2723,2020-01-31
202971,N,ARIPIPRAZOLE,FOR SUSPENSION,,INTRAMUSCULAR,ABILIFY MAINTENA KIT,OTSUKA PHARM CO LTD,300MG/VIAL,2,10525057,2034-03-08,,,U-1632,2020-01-31
202971,N,ARIPIPRAZOLE,FOR SUSPENSION,,INTRAMUSCULAR,ABILIFY MAINTENA KIT,OTSUKA PHARM CO LTD,300MG/VIAL,2,10525057,2034-03-08,,,U-543,2020-01-31
208564,N,ESTRADIOL,,,VAGINAL,IMVEXXY,MAYNE PHARMA,0.004MG,1,10537581,2032-11-21,,Y,U-2316,2020-02-13
208564,N,ESTRADIOL,,,VAGINAL,IMVEXXY,MAYNE PHARMA,0.004MG,1,10537581,2032-11-21,,Y,U-2317,2020-02-13
208564,N,ESTRADIOL,,,VAGINAL,IMVEXXY,MAYNE PHARMA,0.004MG,2,10537581,2032-11-21,,Y,U-2317,2020-02-13
208564,N,ESTRADIOL,,,VAGINAL,IMVEXXY,MAYNE PHARMA,0.004MG,2,10537581,2032-11-21,,Y,U-2316,2020-02-13
212614,N,EMPAGLIFLOZIN; LINAGLIPTIN; METFORMIN HYDROCHLORIDE,TABLET,,ORAL,TRIJARDY XR,BOEHRINGER INGELHEIM,5MG;2.5MG;1GM,1,8551957,2029-10-14,,Y,U-2730,2020-02-18
212614,N,EMPAGLIFLOZIN; LINAGLIPTIN; METFORMIN HYDROCHLORIDE,TABLET,,ORAL,TRIJARDY XR,BOEHRINGER INGELHEIM,5MG;2.5MG;1GM,2,8551957,2029-10-14,,Y,U-2730,2020-02-18
212614,N,EMPAGLIFLOZIN; LINAGLIPTIN; METFORMIN HYDROCHLORIDE,TABLET,,ORAL,TRIJARDY XR,BOEHRINGER INGELHEIM,5MG;2.5MG;1GM,3,8551957,2029-10-14,,Y,U-2730,2020-02-18
212614,N,EMPAGLIFLOZIN; LINAGLIPTIN; METFORMIN HYDROCHLORIDE,TABLET,,ORAL,TRIJARDY XR,BOEHRINGER INGELHEIM,5MG;2.5MG;1GM,4,8551957,2029-10-14,,Y,U-2730,2020-02-18
18708,N,QUAZEPAM,,,ORAL,DORAL,GALT PHARMS,7.5MG,3,7608616,2028-06-03,,,U-1012,
19734,N,NICARDIPINE HYDROCHLORIDE,,,INJECTION,CARDENE,CHIESI,25MG/10ML,3,8455524,2027-04-18,,,U-1029,
19734,N,NICARDIPINE HYDROCHLORIDE,,,INJECTION,CARDENE,CHIESI,25MG/10ML,5,7659291,2027-04-18,,,U-1029,
202799,N,PEGINESATIDE ACETATE,,,"INTRAVENOUS, SUBCUTANEOUS",OMONTYS,TAKEDA PHARMS USA,EQ 10MG BASE/ML (EQ 10MG BASE/ML),1,7550433,2026-06-02,,,U-1238,2012-04-25
202799,N,PEGINESATIDE ACETATE,,,"INTRAVENOUS, SUBCUTANEOUS",OMONTYS,TAKEDA PHARMS USA,EQ 10MG BASE/ML (EQ 10MG BASE/ML),3,7919461,2026-06-02,,,U-1238,
20845,N,NITRIC OXIDE,,,INHALATION,INOMAX,MALLINCKRODT HOSP,100PPM,3,8795741,2029-06-30,,,U-1286,2014-08-07
22352,N,COLCHICINE,,,ORAL,COLCRYS,TAKEDA PHARMS USA,0.6MG,1,7981938,2028-10-06,,,U-1166,2011-07-22
22383,N,INDACATEROL MALEATE,,,INHALATION,ARCAPTA NEOHALER,NOVARTIS,EQ 75MCG BASE,1,6878721,2025-02-25,Y,Y,U-1168,
202799,N,PEGINESATIDE ACETATE,,,"INTRAVENOUS, SUBCUTANEOUS",OMONTYS,TAKEDA PHARMS USA,EQ 10MG BASE/ML (EQ 10MG BASE/ML),6,7550433,2026-06-02,,,U-1238,
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,1,6949571,2025-05-23,Y,Y,U-106,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,2,6949571,2025-05-23,Y,Y,U-2428,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,3,6949571,2025-05-23,Y,Y,U-2089,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,4,6949571,2025-05-23,Y,Y,U-106,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,5,6949571,2025-05-23,Y,Y,U-106,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,6,6949571,2025-05-23,Y,Y,U-2429,2012-11-19
22399,N,GABAPENTIN ENACARBIL,TABLET,,ORAL,HORIZANT,AZURITY,300MG,1,8114909,2026-04-11,,,U-1231,2012-03-13
22418,N,FENOFIBRIC ACID,,,ORAL,FIBRICOR,ATHENA,35MG,1,7915247,2027-08-20,,,U-1059,2011-03-30
22418,N,FENOFIBRIC ACID,,,ORAL,FIBRICOR,ATHENA,35MG,2,7915247,2027-08-20,,,U-1061,
201922,N,MINOCYCLINE HYDROCHLORIDE,CAPSULE,,ORAL,XIMINO,JOURNEY,EQ 45MG BASE,1,7541347,2027-04-02,,,U-917,2013-04-17
201922,N,MINOCYCLINE HYDROCHLORIDE,CAPSULE,,ORAL,XIMINO,JOURNEY,EQ 45MG BASE,3,8268804,2025-06-24,,,U-124,
201922,N,MINOCYCLINE HYDROCHLORIDE,CAPSULE,,ORAL,XIMINO,JOURNEY,EQ 45MG BASE,5,8252776,2025-06-24,,,U-124,
202057,N,ICOSAPENT ETHYL,,,ORAL,VASCEPA,AMARIN PHARMS,1GM,1,8426399,2030-02-09,,,U-1287,
22205,N,BALSALAZIDE DISODIUM,,,ORAL,GIAZO,VALEANT PHARMS INTL,1.1GM,1,7625884,2026-08-24,,,U-1229,2012-03-02
22426,N,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,,,ORAL,OSENI,TAKEDA PHARMS USA,EQ,5,7807689,2028-06-27,Y,Y,U-1337,
203923,N,SODIUM THIOSULFATE,,,INTRAVENOUS,SODIUM THIOSULFATE,HOPE PHARMS,12.5GM/50ML (250MG/ML),1,8496973,2031-03-29,Y,Y,U-1419,2013-08-02
202317,N,MECHLORETHAMINE HYDROCHLORIDE,,,TOPICAL,VALCHLOR,HELSINN,EQ 0.016% BASE,1,8501819,2026-03-07,,,U-1427,2013-09-13
204708,N,BRIMONIDINE TARTRATE,,,TOPICAL,MIRVASO,GALDERMA LABS LP,EQ 0.33% BASE,1,7439241,2025-08-25,,,U-1428,2013-09-13
203794,N,TAPENTADOL HYDROCHLORIDE,,,ORAL,NUCYNTA,COLLEGIUM PHARM INC,EQ,1,7994364,2025-06-27,Y,Y,U-1289,2012-10-24
204824,N,METHOTREXATE,,,SUBCUTANEOUS,OTREXUP,OTTER PHARMS,7.5MG/0.4ML (7.5MG/0.4ML),1,8579865,2030-03-19,,Y,U-1442,2013-11-21
203791,N,ACYCLOVIR,,,BUCCAL,SITAVIG,LNHC,50MG,1,8592434,2030-06-16,,Y,U-1460,2013-12-12
205098,N,POLIDOCANOL,,,INTRAVENOUS,VARITHENA,PROVENSIS,77.5MG/7.75ML (10MG/ML),1,7814943,2027-11-19,,Y,U-1461,
201655,N,OXYMORPHONE HYDROCHLORIDE,TABLET,,ORAL,OPANA ER,ENDO PHARMS,5MG,4,8808737,2027-06-21,,,U-1598,2014-11-07
22249,N,BENDAMUSTINE HYDROCHLORIDE,,,INTRAVENOUS,TREANDA,CEPHALON,25MG/VIAL,1,8669279,2029-03-26,,Y,U-1402,2014-10-30
22434,N,ARGATROBAN,,,INTRAVENOUS,ARGATROBAN IN SODIUM CHLORIDE,CIPLA,50MG/50ML,1,7589106,2027-09-26,,Y,U-1163,2011-07-20
22200,N,EXENATIDE SYNTHETIC,FOR SUSPENSION,,SUBCUTANEOUS,BYDUREON,ASTRAZENECA AB,2MG/VIAL,2,8501698,2027-06-20,,Y,U-2588,2017-11-15
22200,N,EXENATIDE SYNTHETIC,FOR SUSPENSION,,SUBCUTANEOUS,BYDUREON,ASTRAZENECA AB,2MG/VIAL,2,8361972,2028-03-21,,,U-2588,2017-11-15
22200,N,EXENATIDE SYNTHETIC,FOR SUSPENSION,,SUBCUTANEOUS,BYDUREON,ASTRAZENECA AB,2MG/VIAL,2,9884092,2026-08-18,,,U-2588,2018-03-06
22200,N,EXENATIDE SYNTHETIC,FOR SUSPENSION,,SUBCUTANEOUS,BYDUREON,ASTRAZENECA AB,2MG/VIAL,2,9884092,2026-08-18,,,U-2594,2018-03-06
22200,N,EXENATIDE SYNTHETIC,FOR SUSPENSION,,SUBCUTANEOUS,BYDUREON,ASTRAZENECA AB,2MG/VIAL,2,9884092,2026-08-18,,,U-2590,2018-03-06
22200,N,EXENATIDE SYNTHETIC,FOR SUSPENSION,,SUBCUTANEOUS,BYDUREON,ASTRAZENECA AB,2MG/VIAL,2,9884092,2026-08-18,,,U-2596,2018-03-06
22200,N,EXENATIDE SYNTHETIC,FOR SUSPENSION,,SUBCUTANEOUS,BYDUREON,ASTRAZENECA AB,2MG/VIAL,2,9884092,2026-08-18,,,U-2589,2018-03-06
22200,N,EXENATIDE SYNTHETIC,FOR SUSPENSION,,SUBCUTANEOUS,BYDUREON,ASTRAZENECA AB,2MG/VIAL,2,9884092,2026-08-18,,,U-2595,2018-03-06
22200,N,EXENATIDE SYNTHETIC,FOR SUSPENSION,,SUBCUTANEOUS,BYDUREON,ASTRAZENECA AB,2MG/VIAL,2,9884092,2026-08-18,,,U-2593,2018-03-06
20832,N,CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL,,,TOPICAL,CHLORAPREP ONE-STEP,BECTON DICKINSON CO,2%;70% (3ML),2,7422388,2027-04-25,,Y,U-1397,2013-05-22
20845,N,NITRIC OXIDE,,,INHALATION,INOMAX,MALLINCKRODT HOSP,100PPM,2,8291904,2031-01-06,,Y,U-1226,
20845,N,NITRIC OXIDE,,,INHALATION,INOMAX,MALLINCKRODT HOSP,100PPM,3,8431163,2029-06-30,,,U-1286,
21223,N,ZOLEDRONIC ACID,,,INTRAVENOUS,ZOMETA,NOVARTIS,EQ,2,8324189,2025-05-29,,,U-53,2012-12-21
21400,N,VARDENAFIL HYDROCHLORIDE,,,ORAL,LEVITRA,BAYER HLTHCARE,EQ,1,8273876,2027-07-23,,,U-1288,2012-10-24
21641,N,RASAGILINE MESYLATE,,,ORAL,AZILECT,TEVA,EQ 0.5MG BASE,1,7815942,2027-08-27,Y,Y,U-219,2010-11-08
21829,N,ROTIGOTINE,FILM,,TRANSDERMAL,NEUPRO,UCB INC,1MG/24HR,3,8246979,2027-09-01,,Y,U-1273,
21856,N,FEBUXOSTAT,,,ORAL,ULORIC,TAKEDA PHARMS USA,40MG,1,8372872,2031-09-08,,,U-1346,2013-02-26
212038,N,METHYLPHENIDATE HYDROCHLORIDE,CAPSULE,,ORAL,ADHANSIA XR,PURDUE PHARMA LP,25MG,1,10568841,2035-10-30,,Y,U-2357,2020-02-26
212038,N,METHYLPHENIDATE HYDROCHLORIDE,CAPSULE,,ORAL,ADHANSIA XR,PURDUE PHARMA LP,25MG,2,10568841,2035-10-30,,Y,U-2357,2020-02-26
212038,N,METHYLPHENIDATE HYDROCHLORIDE,CAPSULE,,ORAL,ADHANSIA XR,PURDUE PHARMA LP,25MG,3,10568841,2035-10-30,,Y,U-2357,2020-02-26
212038,N,METHYLPHENIDATE HYDROCHLORIDE,CAPSULE,,ORAL,ADHANSIA XR,PURDUE PHARMA LP,25MG,4,10568841,2035-10-30,,Y,U-2357,2020-02-26
212038,N,METHYLPHENIDATE HYDROCHLORIDE,CAPSULE,,ORAL,ADHANSIA XR,PURDUE PHARMA LP,25MG,5,10568841,2035-10-30,,Y,U-2357,2020-02-26
212038,N,METHYLPHENIDATE HYDROCHLORIDE,CAPSULE,,ORAL,ADHANSIA XR,PURDUE PHARMA LP,25MG,6,10568841,2035-10-30,,Y,U-2357,2020-02-26
202057,N,ICOSAPENT ETHYL,,,ORAL,VASCEPA,AMARIN PHARMS,1GM,1,10555925,2033-06-28,,,U-2744,2020-02-26
202057,N,ICOSAPENT ETHYL,,,ORAL,VASCEPA,AMARIN PHARMS,1GM,1,10555924,2033-06-28,,,U-2743,2020-02-26
202057,N,ICOSAPENT ETHYL,,,ORAL,VASCEPA,AMARIN PHARMS,1GM,2,10555924,2033-06-28,,,U-2743,2020-02-26
202057,N,ICOSAPENT ETHYL,,,ORAL,VASCEPA,AMARIN PHARMS,1GM,2,10555925,2033-06-28,,,U-2744,2020-02-26
21991,N,VORINOSTAT,,,ORAL,ZOLINZA,MSD SUB MERCK,100MG,1,7399787,2025-02-09,,,U-892,
22030,N,FESOTERODINE FUMARATE,TABLET,,ORAL,TOVIAZ,PFIZER,4MG,2,7807715,2027-06-07,,Y,U-913,
22184,N,BIMATOPROST,,,OPHTHALMIC,LUMIGAN,ABBVIE,0.0001,1,8299118,2025-03-16,,,U-1295,2012-11-16
22067,N,PREDNISOLONE ACETATE,,,ORAL,FLO-PRED,TARO,EQ 5MG BASE/5ML,2,7799331,2028-10-11,,Y,U-1068,
200533,N,TAPENTADOL HYDROCHLORIDE,TABLET,,ORAL,NUCYNTA ER,COLLEGIUM PHARM INC,EQ 50MG BASE,1,7994364,2025-06-27,Y,Y,U-1178,2011-09-02
21695,N,FENOFIBRATE,,,ORAL,ANTARA (MICRONIZED),LUPIN,30MG,5,8026281,2025-04-22,,,U-1448,
200533,N,TAPENTADOL HYDROCHLORIDE,TABLET,,ORAL,NUCYNTA ER,COLLEGIUM PHARM INC,EQ 50MG BASE,5,7994364,2025-06-27,Y,Y,U-1178,
50808,N,MINOCYCLINE HYDROCHLORIDE,TABLET,,ORAL,SOLODYN,BAUSCH,EQ,1,8268804,2025-06-24,,,U-1078,2012-10-09
50808,N,MINOCYCLINE HYDROCHLORIDE,TABLET,,ORAL,SOLODYN,BAUSCH,EQ,3,7919483,2027-03-07,,,U-1078,
50808,N,MINOCYCLINE HYDROCHLORIDE,TABLET,,ORAL,SOLODYN,BAUSCH,EQ,5,8268804,2025-06-24,,,U-1078,
204886,N,VORAPAXAR SULFATE,,,ORAL,ZONTIVITY,KEY THERAP,EQ 2.08MG BASE,1,7304078,2027-12-23,Y,Y,U-1512,2014-06-05
21026,N,MICONAZOLE NITRATE; WHITE PETROLATUM; ZINC OXIDE,,,TOPICAL,VUSION,MYLAN,0.25%;81.35%;15%,1,8147852,2028-03-30,,,U-1426,2013-09-11
21539,N,ACETYLCYSTEINE,,,INTRAVENOUS,ACETADOTE,CUMBERLAND PHARMS,6GM/30ML (200MG/ML),1,8722738,2032-04-06,,,U-1373,2014-05-27
204384,N,BEDAQUILINE FUMARATE,,,ORAL,SIRTURO,JANSSEN THERAP,EQ 20MG BASE,1,8546428,2029-03-19,Y,Y,U-1321,2014-03-14
205776,N,METHOTREXATE,,,SUBCUTANEOUS,RASUVO,MEDEXUS,7.5MG/0.15ML (7.5MG/0.15ML),1,8664231,2029-06-01,,,U-1442,2014-07-31
205776,N,METHOTREXATE,,,SUBCUTANEOUS,RASUVO,MEDEXUS,7.5MG/0.15ML (7.5MG/0.15ML),7,8664231,2029-06-01,,,U-1442,2014-07-31
204031,N,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,TABLET,,ORAL,XARTEMIS XR,MALLINCKRODT INC,325MG;7.5MG,1,7976870,2027-06-01,,,U-1498,2014-04-03
50819,N,BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,,,TOPICAL,ACANYA,BAUSCH,2.5%;EQ 1.2% BASE,2,8288434,2029-08-05,,Y,U-916,2014-12-03
203756,N,CABOZANTINIB S-MALATE,,,ORAL,COMETRIQ,EXELIXIS,EQ 20MG BASE,2,8877776,2030-10-08,Y,Y,U-1617,2014-12-04
